,Cd3e,Cd19,Cd14
epithelial cell,2.417,2.742,5.757
epithelial cell,2.417,2.614,3.918
epithelial cell,2.417,2.416,8.947
epithelial cell,2.417,2.742,8.777
epithelial cell,3.33,4.858,8.263
epithelial cell,2.417,2.882,7.891
epithelial cell,4.169,2.222,3.929
epithelial cell,4.517,2.302,4.398
germ cell,2.417,3.649,2.883
germ cell,2.417,2.977,4.953
germ cell,2.427,2.417,2.936
germ cell,2.417,3.271,2.809
germ cell,2.417,2.489,2.948
germ cell,2.417,2.867,2.839
germ cell,2.417,3.22,2.809
germ cell,2.417,2.665,3.856
germ cell,2.417,3.289,3.557
germ cell,2.417,3.508,2.936
germ cell,2.417,2.419,3.858
germ cell,2.417,2.46,3.99
germ cell,2.417,2.421,2.936
germ cell,2.417,2.416,2.95
germ cell,2.417,2.416,2.958
germ cell,2.456,3.444,2.809
germ cell,2.417,3.037,2.809
germ cell,2.456,2.544,6.1
germ cell,2.456,2.416,6.881
germ cell,2.417,2.662,3.653
germ cell,2.417,2.742,2.94
germ cell,2.919,3.08,3.391
germ cell,2.417,2.697,2.81
germ cell,2.417,2.519,2.678
germ cell,2.417,2.416,3.014
germ cell,2.417,2.741,2.936
germ cell,2.417,2.742,2.809
germ cell,2.43,2.734,2.809
germ cell,2.419,2.659,2.936
germ cell,2.417,2.742,2.886
stem cell,2.417,2.666,2.554
stem cell,2.417,2.416,3.056
stem cell,2.417,2.302,2.809
stem cell,2.417,2.302,2.779
stem cell,2.417,2.233,2.81
stem cell,2.456,2.742,2.554
stem cell,2.417,2.489,2.554
stem cell,2.417,2.416,2.554
stem cell,2.456,3.338,2.554
stem cell,2.417,2.711,2.554
stem cell,2.757,2.742,2.554
stem cell,2.417,2.416,2.549
stem cell,2.508,2.742,2.589
stem cell,2.641,2.742,2.554
stem cell,2.417,2.742,2.554
stem cell,2.432,2.843,2.554
stem cell,2.456,2.742,2.554
stem cell,2.271,2.416,3.681
stem cell,2.441,2.504,4.308
leukocyte,8.933,10.457,9.444
leukocyte,8.359,11.187,8.907
B cell,2.417,9.242,2.554
B cell,2.417,10.703,2.556
B cell,2.417,10.14,2.554
B cell,2.592,9.536,2.554
B cell,2.417,9.588,2.549
B cell,2.417,10.63,2.549
B cell,2.417,10.477,2.809
B cell,2.417,9.844,2.425
B cell,2.417,9.737,2.549
B cell,2.456,10.942,2.554
B cell,2.771,12.5,7.052
B cell,3.418,13.162,7.238
B cell,3.935,12.023,8.016
B cell,2.417,12.856,6.119
B cell,3.196,11.61,7.318
B cell,2.536,11.159,5.297
B cell,3.563,12.412,5.789
B cell,2.456,12.918,3.564
B cell,3.656,12.049,3.308
B cell,2.456,10.697,2.936
B cell,2.93,10.536,3.106
B cell,2.826,11.861,2.913
B cell,2.456,10.622,3.135
B cell,2.456,12.506,2.549
B cell,2.417,12.284,2.554
B cell,2.417,11.218,9.291
B cell,2.417,10.948,8.934
B cell,2.417,11.05,7.928
B cell,3.094,11.294,8.565
B cell,2.467,10.521,9.399
B cell,2.417,10.199,7.753
B cell,4.366,12.44,7.406
B cell,2.694,12.867,2.549
B cell,2.417,12.908,2.549
B cell,4.184,11.956,2.408
B cell,3.806,12.919,4.475
B cell,2.744,13.295,2.549
B cell,4.728,12.863,2.549
B cell,3.108,12.67,4.728
B cell,2.392,12.811,2.752
dendritic cell,2.417,2.302,5.712
dendritic cell,2.417,2.416,6.971
dendritic cell,2.456,2.742,11.335
dendritic cell,2.98,3.273,14.525
dendritic cell,2.417,2.742,11.65
dendritic cell,3.2,2.742,11.826
dendritic cell,2.456,3.231,11.76
dendritic cell,2.456,4.02,14.344
dendritic cell,2.512,2.908,14.37
dendritic cell,2.417,2.896,14.272
dendritic cell,2.417,2.416,11.99
dendritic cell,2.456,2.675,14
dendritic cell,2.417,2.43,12.252
dendritic cell,2.456,2.404,13.353
dendritic cell,4.482,3.602,10.521
dendritic cell,2.452,2.618,11.3
dendritic cell,2.417,2.416,12.322
dendritic cell,2.699,2.742,7.552
dendritic cell,6.371,9.676,9.291
dendritic cell,6.313,9.165,11.111
dendritic cell,2.824,2.416,7.368
dendritic cell,2.489,5.232,10.869
dendritic cell,2.417,5.414,10.945
dendritic cell,3.668,3.381,6.519
dendritic cell,2.417,2.925,7.31
dendritic cell,2.456,2.742,6.543
dendritic cell,2.417,3.421,6.292
dendritic cell,3.879,2.742,2.632
dendritic cell,2.417,2.633,2.554
dendritic cell,3.49,2.416,2.809
dendritic cell,2.417,2.813,13.176
basophil,2.417,2.416,5.671
basophil,2.417,2.416,6.889
basophil,2.417,2.286,5.492
basophil,2.417,2.416,7.24
basophil,2.417,2.416,4.287
basophil,2.417,2.313,6.627
neutrophil,2.417,4.232,8.536
neutrophil,4.143,2.742,14.826
neutrophil,4.24,3.871,15.055
thymocyte,9.618,2.222,2.549
thymocyte,7.466,3.341,2.222
thymocyte,6.143,2.222,2.554
thymocyte,9.408,2.735,2.222
thymocyte,10.088,2.222,2.222
thymocyte,10.582,2.302,2.222
macrophage,2.417,2.416,12.744
macrophage,2.456,2.742,14.063
macrophage,2.417,2.302,13.059
macrophage,2.417,2.416,13.042
macrophage,3.198,3.226,13.863
macrophage,2.456,3.751,13.915
macrophage,2.417,2.701,13.889
macrophage,2.644,2.97,13.83
macrophage,2.417,2.416,13.892
macrophage,2.799,2.742,13.289
macrophage,2.456,2.742,13.288
macrophage,2.417,2.416,13.158
macrophage,2.759,2.742,13.322
macrophage,2.456,2.742,13.286
macrophage,2.417,2.455,13.031
macrophage,2.417,2.742,13.372
macrophage,2.417,2.416,13.441
macrophage,2.456,3.045,14.156
macrophage,2.417,2.742,14.545
macrophage,2.417,2.416,14.044
macrophage,2.456,2.222,14.144
macrophage,2.417,2.222,14.395
macrophage,2.417,2.302,14.2
macrophage,2.417,2.416,14.31
macrophage,2.501,2.492,14.495
macrophage,2.456,2.416,14.34
macrophage,2.756,3.35,13.255
macrophage,2.456,3.041,13.426
macrophage,2.456,2.966,13.365
macrophage,3.149,2.416,13.896
macrophage,2.417,2.951,13.898
macrophage,2.773,2.452,13.782
macrophage,2.542,2.416,14.091
macrophage,2.417,3.671,13.85
macrophage,2.786,2.416,13.658
macrophage,2.759,2.416,14.167
macrophage,3.358,2.452,14.225
macrophage,2.925,2.416,13.999
macrophage,2.417,3.239,13.357
macrophage,2.456,2.742,13.304
macrophage,2.456,2.742,13.062
macrophage,3.658,2.742,14.193
macrophage,2.543,2.742,14.171
macrophage,2.954,2.742,14.101
macrophage,3.205,3.609,14.288
macrophage,2.521,2.742,14.268
macrophage,2.456,3.074,14.217
macrophage,3.118,5.059,14.199
macrophage,3.312,2.861,14.033
macrophage,2.417,2.742,14.017
macrophage,2.727,2.416,12.533
macrophage,2.417,2.311,13.724
mast cell,2.482,2.932,2.809
natural killer cell,4.679,2.742,2.809
natural killer cell,6.302,10.156,2.936
NK T cell,9.975,3.695,2.935
NK T cell,11.242,4.328,4.611
NK T cell,10.311,5.056,11.317
NK T cell,10.048,3.419,11.294
NK T cell,7.472,2.653,7.555
NK T cell,10.065,2.434,6.466
T cell,8.737,2.416,2.549
T cell,8.483,2.63,4.054
T cell,9.59,2.416,2.549
T cell,9.801,2.324,2.554
T cell,10.068,2.416,2.549
T cell,10.147,2.416,2.554
T cell,10.082,2.701,2.589
T cell,8.598,3.315,5.012
T cell,11.758,2.302,2.952
T cell,12.006,2.302,2.68
T cell,11.244,6.416,6.393
T cell,11.08,6.831,7.465
T cell,9.543,6.382,2.589
T cell,9.165,6.673,2.809
T cell,9.878,7.587,8.014
T cell,9.85,7.356,8.046
T cell,9.453,5.805,2.693
T cell,10.313,5.236,2.549
T cell,9.119,6.412,2.809
T cell,11.855,2.416,3.015
T cell,9.554,2.416,2.554
T cell,9.723,2.416,2.554
T cell,9.708,2.472,2.554
T cell,9.796,2.416,2.549
T cell,8.583,2.416,2.549
T cell,8.123,2.416,2.936
T cell,8.922,2.416,4.562
T cell,8.675,2.816,2.554
T cell,7.566,2.416,2.554
T cell,6.659,2.222,2.554
T cell,7.545,2.742,2.554
T cell,8.017,2.302,2.554
T cell,11.713,6.785,7.314
T cell,9.819,5.347,7.738
T cell,11.57,7.612,7.494
T cell,10.249,6.859,9.106
T cell,9.362,2.222,2.554
T cell,10.297,4.71,8.82
T cell,10.08,7.899,8.524
T cell,10.358,8.373,5.582
T cell,9.686,2.416,2.554
T cell,10.813,2.737,2.549
T cell,10.335,2.742,2.611
T cell,10.253,2.222,2.222
T cell,10.925,2.302,2.549
T cell,11.351,2.309,2.58
T cell,7.972,5.776,7.14
T cell,8.385,3.245,5.41
T cell,7.57,5.249,3.777
T cell,7.962,2.742,2.88
T cell,11.235,2.416,2.554
T cell,10.422,3.543,2.554
T cell,10.675,2.416,2.801
T cell,11.652,2.879,2.576
fibroblast,2.456,2.416,2.549
stromal cell,2.417,2.319,3.876
stromal cell,2.417,2.302,11.752
stromal cell,2.417,2.455,6.719
stromal cell,2.417,2.416,6.804
stromal cell,2.417,2.416,7.995
stromal cell,2.417,2.354,7.467
stromal cell,2.417,2.687,7.612
tissue,2.417,2.222,2.809
tissue,2.417,2.303,2.587
tissue,2.417,2.222,4.864
tissue,2.417,2.222,3.809
tissue,3.031,3.749,6.179
tissue,2.456,2.416,8.029
tissue,3.39,2.742,6.358
tissue,2.417,4.435,8.647
tissue,2.524,2.416,9.653
tissue,2.874,3.2,6.662
tissue,2.534,3.949,3.896
tissue,4.561,5.401,10.24
tissue,4.798,6.619,10.293
tissue,6.191,10.552,6.377
tissue,2.456,2.89,4.319
tissue,4.707,8.252,9.491
tissue,2.456,2.742,6.913
tissue,7.016,10.917,9.128
tissue,5.134,2.971,9.411
tissue,11.091,3.222,2.554
tissue,10.311,3.994,2.554
tissue,10.198,3.364,3.069
tissue,10.656,4.199,2.554
tissue,9.718,4.176,2.566
tissue,2.417,2.416,10.747
tissue,2.417,2.416,2.554
tissue,2.417,2.269,2.549
tissue,2.23,2.416,2.549
tissue,2.357,2.33,2.344